country,number
Turkey,13
Canada,27
Italy,33
Bangladesh,49
Monaco,147
Cyprus,4
Malta,5
France,62
Ethiopia,64
Netherlands,26
Sri Lanka,3
Argentina,27
Norway,9
Czech Republic,13
Ghana,95
United Kingdom,355
Russia,2
Australia,3
Singapore,81
Venezuela,2
Belgium,137
Togo,8
Guatemala,105
China,14
Armenia,2
Lebanon,1
Germany,875
Dominican Republic,7
Iraq,31
Ecuador ,2
Sierra Leone,16
Spain,999
Ukraine,109
Finland,27
Chile,23
Jamaica,488
Denmark,48
Poland,48
Indonesia,10
Israel,118
United States,2284
Morocco,29
Sweden,38
Belarus,9
Namibia,31
Kenya,143
Switzerland,10
South Korea,10
Brazil,9
Pakistan,21
Albania,14
North Korea,1
Portugal,2
Chad,8
Mexico,72
Egypt,2
United Arab Emirates,4
India,302
Brunei,22
Nicaragua,5
Uzbekistan,2
Tunisia,69
Slovenia,31
Uganda,4
Burundi,14
Japan,6
Colombia,2
Fiji,2
