p2,p3,p0,p1,p6,p7,p4,p5,p8,p9,img,p10,p11
,,Lot 100 - G57 Wine ,1 Bt Champagne  Taittinger  Collection Vasarely 75cl  OC 1978,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101038/101038_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 350 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 247 - G57 Wine ,12 bts Haut-Médoc Ch. La Lagune 3ème Grand Cru Classé 75cl 1966,,,,,,CHF 500 / 700 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/82409/82409_l_1.jpg,€ 420 / 580 , 	 		 					 			 				Sold for CHF 518 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 248 - G57 Wine ,12 bts Haut-Médoc Ch. La Lagune 3ème Grand Cru Classé 75cl 1975,,,,,,CHF 500 / 600 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/82417/82417_l_1.jpg,€ 420 / 500 , 	 		 					 			 				Sold for CHF 380 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 417 - G57 Wine ,2 bts Saint-Emilion Ch. Larmande Grand Cru Classé 75cl 1975,,,,,,CHF 40 / 60 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103809/103809_l_1.jpg,€ 30 / 50 , 	 		 					 			 				Sold for CHF 23 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 418 - G57 Wine ,1 bt Saint-Emilion Larmande Grand Cru Classé 6L 1975,,,,,,CHF 150 / 200 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103818/103818_l_1.jpg,€ 130 / 170 , 	 		 					 			 				Sold for CHF 380 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 469 - G57 Wine ,12 bts Barsac Ch. Climens 1er Grand Cru Classé 75cl 2003,,,,,,CHF 400 / 600 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104240/104240_l_1.jpg,€ 330 / 500 , 	 		 					 			 				Sold for CHF 368 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 478 - G57 Wine ,"6 bts Sauternes Ch. d'Yquem: 4x2001 37.5cl , 2x2003 37.5cl",,,,,,CHF 1 400 / 1 800 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104321/104321_l_1.jpg,€ 1 170 / 1 500 , 	 		 					 			 				Sold for CHF 1 380 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 479 - G57 Wine ,4 bts Sauternes Ch. d'Yquem 1er Grand Cru Classé Supérieur 75cl 2001,,,,,,CHF 1 000 / 1 500 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104330/104330_l_1.jpg,€ 830 / 1 250 , 	 		 					 			 				Sold for CHF 1 840 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 480 - G57 Wine ,2 bts Sauternes Ch. d'Yquem 1er Grand Cru Classé Supérieur 75cl 2003,,,,,,CHF 300 / 400 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104339/104339_l_1.jpg,€ 250 / 330 , 	 		 					 			 				Sold for CHF 529 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 482 - G57 Wine ,12 bts Sauternes La Tour Blanche 1er Grand Cru Classé 75cl 2005,,,,,,CHF 300 / 400 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104355/104355_l_1.jpg,€ 250 / 330 , 	 		 					 			 				Sold for CHF 311 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
